DateTime,RequestId,MajorVersion,MinorVersion,BuildVersion,RevisionVersion,ClientRequestId,Protocol,UrlHost,UrlStem,ProtocolAction,AuthenticationType,IsAuthenticated,AuthenticatedUser,Organization,AnchorMailbox,UserAgent,ClientIpAddress,ServerHostName,HttpStatus,BackEndStatus,ErrorCode,Method,ProxyAction,TargetServer,TargetServerVersion,RoutingType,RoutingHint,BackEndCookie,ServerLocatorHost,ServerLocatorLatency,RequestBytes,ResponseBytes,TargetOutstandingRequests,AuthModulePerfContext,HttpPipelineLatency,CalculateTargetBackEndLatency,GlsLatencyBreakup,TotalGlsLatency,AccountForestLatencyBreakup,TotalAccountForestLatency,ResourceForestLatencyBreakup,TotalResourceForestLatency,ADLatency,SharedCacheLatencyBreakup,TotalSharedCacheLatency,ActivityContextLifeTime,ModuleToHandlerSwitchingLatency,ClientReqStreamLatency,BackendReqInitLatency,BackendReqStreamLatency,BackendProcessingLatency,BackendRespInitLatency,BackendRespStreamLatency,ClientRespStreamLatency,KerberosAuthHeaderLatency,HandlerCompletionLatency,RequestHandlerLatency,HandlerToModuleSwitchingLatency,ProxyTime,CoreLatency,RoutingLatency,HttpProxyOverhead,TotalRequestTime,RouteRefresherLatency,UrlQuery,BackEndGenericInfo,GenericInfo,GenericErrors,EdgeTraceId,DatabaseGuid,UserADObjectGuid,PartitionEndpointLookupLatency,RoutingStatus
#Software: Microsoft Exchange Server
#Version: 15.01.2507.006
#Log-type: HttpProxy Logs
#Date: 2024-10-29T09:50:11.967Z
#Fields: DateTime,RequestId,MajorVersion,MinorVersion,BuildVersion,RevisionVersion,ClientRequestId,Protocol,UrlHost,UrlStem,ProtocolAction,AuthenticationType,IsAuthenticated,AuthenticatedUser,Organization,AnchorMailbox,UserAgent,ClientIpAddress,ServerHostName,HttpStatus,BackEndStatus,ErrorCode,Method,ProxyAction,TargetServer,TargetServerVersion,RoutingType,RoutingHint,BackEndCookie,ServerLocatorHost,ServerLocatorLatency,RequestBytes,ResponseBytes,TargetOutstandingRequests,AuthModulePerfContext,HttpPipelineLatency,CalculateTargetBackEndLatency,GlsLatencyBreakup,TotalGlsLatency,AccountForestLatencyBreakup,TotalAccountForestLatency,ResourceForestLatencyBreakup,TotalResourceForestLatency,ADLatency,SharedCacheLatencyBreakup,TotalSharedCacheLatency,ActivityContextLifeTime,ModuleToHandlerSwitchingLatency,ClientReqStreamLatency,BackendReqInitLatency,BackendReqStreamLatency,BackendProcessingLatency,BackendRespInitLatency,BackendRespStreamLatency,ClientRespStreamLatency,KerberosAuthHeaderLatency,HandlerCompletionLatency,RequestHandlerLatency,HandlerToModuleSwitchingLatency,ProxyTime,CoreLatency,RoutingLatency,HttpProxyOverhead,TotalRequestTime,RouteRefresherLatency,UrlQuery,BackEndGenericInfo,GenericInfo,GenericErrors,EdgeTraceId,DatabaseGuid,UserADObjectGuid,PartitionEndpointLookupLatency,RoutingStatus
2024-10-29T09:50:11.920Z,bbaa4cbf-4eaa-4fdc-818d-a25e3b07b51f,15,1,2507,6,,Autodiscover,localhost,/AutoDiscover/,,,false,,,,AMProbe/Local/ClientAccess,::1,WIN-E7TT5KNP0R1,401,,,GET,,,,,,,,,0,,,,,,,,,,,,,,,1097,,,,,,,,,,,,,,1104,,1104,1126,,,,BeginRequest=2024-10-29T09:50:10.838Z;CorrelationID=<empty>;OnAuthenticate=642;SharedCacheGuard=0;AnonymousRequestFilterModule=AutodiscoverEwsDiscovery;TotalRequestTimeDelta=22;EndRequest=2024-10-29T09:50:11.920Z;S:ServiceLatencyMetadata.AuthModuleLatency=399;I32:VCGS.C[WIN-E7TT5KNP0R1]=2;Dbl:VCGS.T[WIN-E7TT5KNP0R1]=0;I32:ADS.C[WIN-E7TT5KNP0R1]=1;F:ADS.AL[WIN-E7TT5KNP0R1]=0.6830446;Dbl:ADB.T[WIN-E7TT5KNP0R1.Projet.ma]=2,,,,,,
2024-10-29T09:50:13.138Z,a92b8310-3123-4cc9-b694-6d365eacedbe,15,1,2507,6,,Autodiscover,localhost,/AutoDiscover/,,Negotiate,true,PROJET\HealthMailboxcbd58cc,,Sid~S-1-5-21-451835877-3134526803-406827064-1134,AMProbe/Local/ClientAccess,127.0.0.1,WIN-E7TT5KNP0R1,200,,,GET,Proxy,win-e7tt5knp0r1.projet.ma,15.01.2507.000,IntraForest,WindowsIdentity,,,92,0,,,,32,976,0;,0,109;,109,70;24;,94,203,,0,1165,2,,,,,,,,,81,1076,18,,1096,,1128,1128,,,,BeginRequest=2024-10-29T09:50:12.009Z;CorrelationID=<empty>;ProxyState-Run=None;AccountForestGuard_Projet.ma=1;ServerLocatorCall=DM:10791a46-eb25-4734-97eb-95c9409a9363~~Projet.ma;FEAuth=BEVersion-1942063563;ProxyState-Complete=PrepareServerRequest;HandlerCleanupLatency=72;SharedCacheGuard=0;EndRequest=2024-10-29T09:50:13.138Z;I32:VCGS.C[WIN-E7TT5KNP0R1]=20;I32:ADS.C[WIN-E7TT5KNP0R1]=4;F:ADS.AL[WIN-E7TT5KNP0R1]=3.058126;Dbl:VCGS.T[WIN-E7TT5KNP0R1]=0;I32:ATE.C[WIN-E7TT5KNP0R1.Projet.ma]=5;F:ATE.AL[WIN-E7TT5KNP0R1.Projet.ma]=10.2;I32:ADR.C[WIN-E7TT5KNP0R1]=1;F:ADR.AL[WIN-E7TT5KNP0R1]=1.334372,,,|RoutingDB:10791a46-eb25-4734-97eb-95c9409a9363,,,CafeV1
2024-10-29T09:50:58.241Z,980568c9-c840-4ccf-99a3-81e2be6255f2,15,1,2507,6,,Autodiscover,localhost,/AutoDiscover/,,Negotiate,true,PROJET\HealthMailboxcbd58cc,,Sid~S-1-5-21-451835877-3134526803-406827064-1134,AMProbe/Local/ClientAccess,127.0.0.1,WIN-E7TT5KNP0R1,200,,,GET,Proxy,win-e7tt5knp0r1.projet.ma,15.01.2507.000,IntraForest,WindowsIdentity,,,,0,,,,1,1,,0,,0,,0,0,,0,2,0,,,,,,,,,0,1,0,,1,,2,2,,,,BeginRequest=2024-10-29T09:50:58.239Z;CorrelationID=<empty>;ProxyState-Run=None;FEAuth=BEVersion-1942063563;ProxyState-Complete=PrepareServerRequest;SharedCacheGuard=0;EndRequest=2024-10-29T09:50:58.241Z;,,,|RoutingDB:10791a46-eb25-4734-97eb-95c9409a9363,,,CafeV1
2024-10-29T09:51:58.310Z,d703f516-15f9-48ca-a5d1-bff7154305d2,15,1,2507,6,,Autodiscover,localhost,/AutoDiscover/,,Negotiate,true,PROJET\HealthMailboxcbd58cc,,Sid~S-1-5-21-451835877-3134526803-406827064-1134,AMProbe/Local/ClientAccess,127.0.0.1,WIN-E7TT5KNP0R1,200,,,GET,Proxy,win-e7tt5knp0r1.projet.ma,15.01.2507.000,IntraForest,WindowsIdentity,,,,0,,,,1,0,,0,,0,,0,0,,0,2,0,,,,,,,,,0,1,0,,1,,2,2,,,,BeginRequest=2024-10-29T09:51:58.308Z;CorrelationID=<empty>;ProxyState-Run=None;FEAuth=BEVersion-1942063563;ProxyState-Complete=PrepareServerRequest;SharedCacheGuard=0;EndRequest=2024-10-29T09:51:58.310Z;,,,|RoutingDB:10791a46-eb25-4734-97eb-95c9409a9363,,,CafeV1
2024-10-29T09:52:58.371Z,4f73fe09-ba5c-42df-ba5c-f123c1d663f0,15,1,2507,6,,Autodiscover,localhost,/AutoDiscover/,,Negotiate,true,PROJET\HealthMailboxcbd58cc,,Sid~S-1-5-21-451835877-3134526803-406827064-1134,AMProbe/Local/ClientAccess,127.0.0.1,WIN-E7TT5KNP0R1,200,,,GET,Proxy,win-e7tt5knp0r1.projet.ma,15.01.2507.000,IntraForest,WindowsIdentity,,,,0,,,,1,0,,0,,0,,0,0,,0,2,0,,,,,,,,,0,0,0,,0,,1,1,,,,BeginRequest=2024-10-29T09:52:58.369Z;CorrelationID=<empty>;ProxyState-Run=None;FEAuth=BEVersion-1942063563;ProxyState-Complete=PrepareServerRequest;SharedCacheGuard=0;EndRequest=2024-10-29T09:52:58.371Z;,,,|RoutingDB:10791a46-eb25-4734-97eb-95c9409a9363,,,CafeV1
